MS:  	 1831: 
Copet[ADDstart] u[ADDend][ADDstart] s[ADDend]  — another 	 Copêt. Another 
 flashes 	 flashes; 
[DELstart] appeared[DELend]  	[NO 1831 VARIANT]
 the Mole – 	[NO 1831 VARIANT]
name of a 	 Môle, a 
lake. While 	 lake.     While 
 storm – 	 tempest, 
 terrific 	 terrific, 
[DELstart] listlessly[DELend] on 	 on 
step – [DELstart] I felt that[DELend][ADDstart] e[ADDend]  	 step. This 
hands & ex  claimed aloud "William, 	 hands, and exclaimed aloud, “William, 
 angel, 	 angel! 
 dirge!"– 	 dirge!” 
words [DELstart] a flash of lightning[DELend] I 	 words, I 
gloom[DELstart] discovered to me[DELend]  	 gloom 
me –  I 	 me; I 
 fixed 	 fixed, 
 intently, 	 intently: 
mista ken a 	 mistaken. A 
 illumined 	 illuminated 
object and 	 object, and 
to me  	 its shape plainly to me; 
gigantc sta[DELstart] n[DELend][DELstart] , its[DELend] & 	 gigantic stature, and 
aspect more 	 aspect, more 
tha[DELstart] man could be[DELend][ADDstart] n[ADDend] belongs 	 than belongs 
humanity[DELstart] explain[DELend]  	 humanity, 
 who 	 that 
[ADDstart] t[ADDend]  	[NO 1831 VARIANT]
 dæmon 	 dæmon, 
conception  	 conception) 
 brother. 	 brother? 
 imagination 	 imagination, 
[ADDstart] ^[ADDend] of 	 of 
truth  — 	 truth; 
 chattered 	 chattered, 
[DELstart] th[DELend]  	[NO 1831 VARIANT]
 support — 	 support. 
 quickly 	[NO 1831 VARIANT]
[DELstart] And[DELend][DELstart] I^could not doubted[DELend][DELstart] not[DELend][DELstart] my[DELend][DELstart] the[DELend][DELstart] thought[DELend][DELstart] was agony^I was agonized by the bare probability[DELend][ADDstart] H[ADDend][ADDstart] ^[ADDend][ADDstart] could not[ADDend][ADDstart] ^[ADDend][ADDstart] I was agonized by the bare probability[ADDend][ADDstart] in[ADDend]  	 Nothing in 
 was 	 He  was 
ir proof 	 irresistible proof 
  — 	 fact. 
pur sueing 	 pursuing 
 devil, 	 devil; 
[ADDstart] ^[ADDend]  	[NO 1831 VARIANT]
 vain 	 vain, 
 hanging 	 hanging 
 Mont-Salêve; he 	 south. He 
 summit 	 summit, 
dissap[ADDstart] e[ADDend] I 	 disappeared.     I 
 motionless the 	 motionless. The 
 ceased 	 ceased; 
continued & the 	 continued, and the 
 inveloped 	 enveloped 
a[DELstart] pitchy[DELend][ADDstart] n[ADDend][ADDstart] ^[ADDend][ADDstart] impenetrable[ADDend] ness. I revolved in my mind 	 an impenetrable darkness. 
in  I resolved 	[NO 1831 VARIANT]
[DELstart] u[DELend] untill now, 	 had until now 
forget.  The 	 forget: the 
my [DELstart] [DELend]  The 	 the creation; the 
creature the 	[NO 1831 VARIANT]
 hands, 	 hands 
bed side – [ADDstart] &[ADDend]  	 bedside; 
[DELstart] Its[DELend][DELstart] It was now nearly[DELend]  two 	 Two 
[ADDstart] ^[ADDend] had 	 had 
[DELstart] of[DELend]  	[NO 1831 VARIANT]
 life, 	 life; 
crime – [DELstart] ?[DELend] Alas! 	 crime? Alas! 
[ADDstart] ^[ADDend]  	 had 
 in 	 into 
 wretch 	 wretch, 
[DELstart] deat[DELend][DELstart] For[DELend][ADDstart] for[ADDend]  	 carnage and misery; 
brother? No 	 brother?     No 
 of 	[NO 1831 VARIANT]
 night 	 night, 
spent[ADDstart] ^[ADDend][ADDstart] cold & wet[ADDend]  	 spent, cold and wet, 
[DELstart] cold and wet[DELend] . 	[NO 1831 VARIANT]
th[ADDstart] e[ADDend][ADDstart] ^[ADDend] incovenience 	 the inconvenience 
weather.  	 weather; 
 in 	[NO 1831 VARIANT]
[DELstart] scene[DELend]  	[NO 1831 VARIANT]
 despair 	 despair. 
[DELstart] wretch[DELend][ADDstart] being[ADDend]  	 being 
 in 	[NO 1831 VARIANT]
mankind [DELstart] for pu[DELend] and 	 mankind, and 
& the 	 and 
effect purposes 	 effect purposes 
[DELstart] mischief[DELend] horror 	 horror, 
[DELstart] this[DELend]  	[NO 1831 VARIANT]
had now 	 had now 
[DELstart] ow[DELend]  vampire; 	 own vampire, 
 grave 	 grave, 
 who were 	 that was 
me. Day dawned 	 me.     Day dawned; 
 town – the 	 town. The 
 open 	 open, 
father's [DELstart] s[DELend][DELstart] n[DELend]  	 father’s house. My 
murderer & cause 	 murderer, and cause 
[DELstart] search[DELend]  	[NO 1831 VARIANT]
 what 	 on 
 was 	[NO 1831 VARIANT]
[DELstart] creature[DELend][ADDstart] being[ADDend]  	 being 
 created 	 formed, 
mountain[DELstart] story[DELend]  was utterly improbable 	 mountain. I remembered also the nervous fever with which I had been seized just at the time that I dated my creation, 
 well 	[NO 1831 VARIANT]
[DELstart] related[DELend][ADDstart] communicated[ADDend]  	 communicated 
[DELstart] tale[DELend][ADDstart] ^[ADDend][ADDstart] relation[ADDend]  	 relation 
 me 	 me, 
delirium  Besides 	 insanity. Besides, 
the  elude 	[NO 1831 VARIANT]
far[DELstart] believed[DELend][DELstart] which was[DELend][DELstart] utterly impossible[DELend][ADDstart] ^[ADDend] as 	 far credited as 
[DELstart] its[DELend][DELstart] self[DELend][ADDstart] my[ADDend]  	 my 
it[DELstart] the com[DELend] Besides 	 it. And then 
 a 	 arrest a 
[DELstart] that could[DELend] capable 	 capable 
[DELstart] steep[DELend][ADDstart] overhanging[ADDend]  	 overhanging 
 Mont-Salêve? 	 Mont Salêve? 
[ADDstart] ^[ADDend][ADDstart] remain[ADDend] It 	 remain silent.     It 
 fathers 	 father’s 
servant[ADDstart] s[ADDend] not 	 servants not 
 time 	 hour 
 Five 	    Six 
 elapsed–passed 	 elapsed, passed 
 respectable 	 venerable 
  	[NO 1831 VARIANT]
 a 	 the 
 mother 	 mother, 
 mantlepiece. 	 mantel-piece. 
 piece 	 subject, 
 to please 	 at 
 father 	 father’s desire, 
Beaumont  in an 	 Beaufort inan 
 despair 	 despair, 
rustic[ADDstart] ,[ADDend] & 	 rustic, and 
 pale 	 pale; 
 beauty 	 beauty, 
[DELstart] allowed of[DELend][ADDstart] ^[ADDend][ADDstart] permitted[ADDend]  	 permitted 
[DELstart] feeling[DELend][ADDstart] sentiment[ADDend]  	 sentiment 
 William, 	 William; 
 it—While 	 it. While 
 engaged 	 engaged, 
 entered– 	 entered: 
 arrive 	 arrive, 
 the greatest 	 a sorrowful 
on seeing  me – "Welcome 	 to see me: “Welcome, 
 Victor," 	 Victor,” 
he,  ah 	 he. “Ah! 
[DELstart] weeks[DELend]  	[NO 1831 VARIANT]
 ago 	 ago, 
 found 	 found 
joy all of 	 joyous and delighted. You come to 
so unhappy that I am afraid [DELstart] for[DELend][ADDstart] ^[ADDend][ADDstart] will be[ADDend]  	 now to share a misery which nothing can alleviate; yet 
welcome [ADDstart] ^[ADDend][ADDstart] our[ADDend]  father looks so sorrowful and it 	 presence will, I hope, revive our father, who 
 to have revived in his mind 	 sinking under 
sorrow  for the death of Mamma and 	 misfortune; and your persuasions will induce 
is quite inconsolable." Ernest began  to weep as 	 to cease her vain and tormenting self-accusations.—Poor William! 
said these words.[DELstart] and[DELend][DELstart] not letpreveng[DELend][DELstart] my being[DELend][ADDstart] ^[ADDend][ADDstart] you"[ADDend][ADDstart] preveng[ADDend][ADDstart] y[ADDend][ADDstart] ing[ADDend] that 	 was our darling and our pride!”     Tears, unrestrained, fell from my brother’s eyes; a sense of mortal agony crept over my frame. Before, 
may not be absolutely miserable 	 had only imagined the wretchedness of my desolated home; 
moment I enter [DELstart] f[DELend][ADDstart] does[ADDend]  misfortunes; 	 reality came on me as a new, and a not less terrible, disaster. I tried to calm Ernest; I enquired more minutely concerning my father, 
how  is 	 her I named 
poor Elizabeth?" Ernest–" She 	 cousin.     “She most of all,” said Ernest, “requires consolation; she 
 brother 	 brother, 
 very, 	[NO 1831 VARIANT]
 wretched; but 	 wretched. But 
discovered"——" "Good God 	 discovered—”     “The murderer discovered! Good God! 
 Who 	 who 
im possible, 	 impossible; 
 winds 	 winds, 
 mountain stream 	 mountain-stream 
straw "I 	 straw. I saw him too; he was free last night!”     “I 
 mean" 	 mean,” 
 when she was discovered–No 	 my brother, in accents of wonder, “but to us the discovery we have made completes our misery. No 
[DELstart] one[DELend]  	[NO 1831 VARIANT]
 first 	 first; 
[DELstart] can[DELend][ADDstart] ^[ADDend][ADDstart] can[ADDend] Myrtella 	 Elizabeth 
convinced notwith  standing 	 convinced, notwithstanding 
 Indeed 	 Indeed, 
 could have believed 	 would credit 
 amiable 	 amiable, 
 family 	 family, 
 all at once become 	 suddenly become capable of so frightful, 
[DELstart] "im[DELend]  "poor, 	 appalling a crime?”     “Justine Moritz! Poor, 
 girl 	 girl, 
 then accused – but 	 the accused? But 
 wrongfully 	 wrongfully; 
 that. No 	 that; no 
[DELstart] bell[DELend]  	[NO 1831 VARIANT]
 it 	 it, 
Ernest?" "No 	 Ernest?”     “No 
first," said my brother,  "but 	 first; but 
[DELstart] things[DELend][ADDstart] ^[ADDend][ADDstart] circumstances[ADDend]  	 circumstances 
 will 	 that have almost 
us  	 us; 
 "own 	 own 
[DELstart] was so[DELend][ADDstart] ^[ADDend] has 	 has 
[DELstart] such[DELend]  	[NO 1831 VARIANT]
confused [DELstart] and[DELend]  	 confused, 
 that 	 that, 
 fear 	 fear, 
doubt:  but 	 doubt. But 
 "will 	 will be 
 today 	 to-day, 
[DELstart] e[DELend][DELstart] t[DELend][DELstart] opened[DELend][DELstart] search &[DELend][DELstart] nothing[DELend][DELstart] cou[DELend][DELstart] day after[DELend][DELstart] her bed— Her apparel was exami[DELend][DELstart] then[DELend]  	 all.”     He 
 that 	 that, 
[DELstart] after[DELend] on 	 on 
discovered [DELstart] Justine o[DELend]  	 discovered, 
 ill 	 ill, 
 bed, and after 	 bed for 
 days 	 days. During this interval, 
servants happen[DELstart] ed[DELend][ADDstart] ed[ADDend][ADDstart] ing[ADDend]  	 servants, happening 
murder [DELstart] &[DELend][DELstart] ard[DELend][ADDstart] ad[ADDend]  	 murder, had 
 mother 	 mother, 
 shewed 	 showed 
[DELstart] and[DELend][ADDstart] who[ADDend]  	 who, 
family [DELstart] they[DELend] went 	 family, went 
magistrate who sent to appre[DELstart] who[DELend]  on 	 magistrate; and, upon their deposition, Justine was apprehended. On 
fact[ADDstart] she[ADDend]  	 poor girl 
[DELstart] to[DELend][DELstart] a[DELend]  	[NO 1831 VARIANT]
 This 	 confusion of manner.     This 
 tale 	 tale, 
 faith 	 faith; 
earnest ly. "You 	 earnestly, “You 
 mistaken. 	 mistaken; 
 murderer 	 murderer. 
 Justine 	 Justine, 
 At 	 innocent.”     At 
en After 	 entered. I saw unhappiness deeply impressed on his countenance, but he endeavoured to welcome me cheerfully; and, after we had exchanged 
 first 	[NO 1831 VARIANT]
 greetings 	 greeting, would have introduced some other topic than that of our disaster, 
past [DELstart] and[DELend]  	 not 
 exclaimed Good 	 exclaimed, “Good 
Pa pa! 	 papa! 
[DELstart] has[DELend][DELstart] k[DELend][ADDstart] s[ADDend]  	[NO 1831 VARIANT]
William.[DELstart] And[DELend]  We 	 William.”     “We 
 unfortunately," 	 unfortunately,” 
 father for 	 father; “for 
[ADDstart] ^[ADDend] for 	 been for 
 than, 	 than 
 & 	 and 
 whom 	[NO 1831 VARIANT]
highly. "My 	 highly.”     “My 
 father" exclaimed I–"You 	 father, you 
 mistaken. 	 mistaken; 
innocent." "If she is" replied my father "God 	 innocent.”     “If she is, God 
  	[NO 1831 VARIANT]
[DELstart] innocent[DELend] guilty – 	 guilty. 
 today 	 to-day, 
 hope 	 hope, 
 hope 	 hope, 
acquitted This 	 acquitted.”     This 
 Justine 	 Justine, 
 being 	 being, 
 fear therefore 	 fear, therefore, 
her and in this assurance I calmed [DELstart] co[DELend][DELstart] our[DELend][DELstart] mournful[DELend][ADDstart] he[ADDend][ADDstart] ^[ADDend][ADDstart] after ourwe[ADDend]  	 her. My tale was not one to announce publicly; its astounding horror would be looked upon as madness by the vulgar. Did any one indeed exist, except I, the creator, who would believe, unless his senses convinced him, in the existence of the living monument of presumption and rash ignorance which I had let loose upon the world? 
 We 	 We 
[ADDstart] ^[ADDend][ADDstart] by[ADDend]  	 by 
 made great alterations in 	 altered 
 form 	[NO 1831 VARIANT]
 had 	[NO 1831 VARIANT]
her. Five years [DELstart] ago[DELend] she was a pretty, good humoured girl 	 her; it had endowed her 
an [DELstart] humoured[DELend][ADDstart] caressed[ADDend] . She 	 loveliness surpassing the beauty of her childish years. There 
now a woman  which 	 the same candour, the same vivacity, but it 
uncommonly lovely — An open &[DELstart] great[DELend][ADDstart] ^[ADDend][ADDstart] e[ADDend][ADDstart] ive[ADDend][ADDstart] ^[ADDend][ADDstart] of uncommon[ADDend] through recent affliction 	[NO 1831 VARIANT]
sadness–  Her hair was 	 an expression more full 
a rich[ADDstart] ^[ADDend][ADDstart] dark[ADDend][ADDstart] ^[ADDend][ADDstart] her complexion fair[ADDend][ADDstart] ght[ADDend]  	 sensibility 
 graceful. 	 intellect. 
[DELstart] embraced[DELend][DELstart] w[DELend][DELstart] me with[DELend]  	[NO 1831 VARIANT]
 affection "Your 	 affection. “Your 
[DELstart] best[DELend][ADDstart] dearest[ADDend]  cousin," 	 dear cousin,” 
[DELstart] give[DELend]  "fills 	 “fills 
 out 	[NO 1831 VARIANT]
[DELstart] innocent[DELend][ADDstart] ^[ADDend][ADDstart] guiltless[ADDend]  	 guiltless 
Alas  Who 	 Alas! who 
 safe is 	 safe, if 
 were 	 be 
[DELstart] for[DELend][DELstart] belie[DELend][ADDstart] ^[ADDend][ADDstart] of crime?[ADDend]  	 of crime? I 
[DELstart] her[DELend]  	[NO 1831 VARIANT]
[ADDstart] Our[ADDend] Misfortune 	 Our misfortune 
us. [ADDstart] We[ADDend]  	 us; we 
 boy 	 boy, 
 girl 	 girl, 
  	[NO 1831 VARIANT]
 fate – Alas if 	 fate. If 
 condemned 	 condemned, 
 never 	[NO 1831 VARIANT]
 more 	 more. 
 not 	 not, 
 not 	 not; 
 again 	 again, 
[DELstart] d[DELend]  	[NO 1831 VARIANT]
William." "She 	 William.”     “She 
 Elizabeth," 	 Elizabeth,” 
 I and 	 I, “and 
 proved – 	 proved; 
 nothing 	 nothing, 
aquittal. "How 	 acquittal.”     “How 
your are," replied Elizabeth,  "every 	 and generous you are! every 
wretched   	 wretched, 
 that 	 that 
 impossible, 	 impossible: 
 despairing." 	 despairing.” 
wept—  "Sweet niece" 	 wept.     “Dearest niece,” 
 father dry 	 father, “dry 
[DELstart] eyes[DELend][ADDstart] sorrowful[ADDend]  if 	 tears. If 
 is 	 is, 
 believe innocent 	 believe, innocent, 
[DELstart] that[DELend] on 	 on 
 judges & 	 laws, and 
partiality.  	 partiality.” 
 We 	 W E  
 hours untill 	 hours, until 
 o'clock 	 o’clock, 
[DELstart] begin[DELend][DELstart] and[DELend][ADDstart] commence[ADDend][ADDstart] M[ADDend] y 	 commence. My 
E[DELstart] father[DELend][DELstart] El[DELend]  	[NO 1831 VARIANT]
witnesses [DELstart] Iac[DELend]  	 witnesses, 
 sufferred 	 suffered 
torture.[ADDstart] ^[ADDend] It 	 torture. It 
 decided 	 decided, 
lawless[DELstart] desires[DELend][ADDstart] devices[ADDend]  	 lawless devices 
  	[NO 1831 VARIANT]
 fellow beings. One 	 fellow-beings: one 
 babe 	 babe, 
 joy, 	 joy; 
 murdered 	 murdered, 
agravation [DELstart] ignominy[DELend]  	 aggravation of 
 that 	 the 
[DELstart] more terrible[DELend] memorable 	 memorable 
 merit 	 merit, 
[DELstart] little world[DELend][ADDstart] life[ADDend]  happy; 	 life happy: 
an[DELstart] d[DELend]  	 an 
grave [ADDstart] ;[ADDend]  And 	 grave; and 
 Justine, 	 Justine; 
 committed 	 committed, 
have[ADDstart] been[ADDend]  	 have been 
 madman 	 madman, 
 could 	 would 
me.[DELstart] aff[DELend]  	 me.     The 
[DELstart] morn[DELend]  mourning 	 mourning; 
 rendered 	 rendered, 
feelings exquisite  -ly 	 feelings, exquisitely 
[DELstart] Yet she[DELend][DELstart] Her mann[DELend]  	[NO 1831 VARIANT]
 innocence 	 innocence, 
 tremble 	 tremble, 
 at 	 on 
thousands. [DELstart] fo[DELend]  For 	 thousands; for 
kind  ness 	 kindness 
 gained from others 	 excited, 
 rememberance 	 imagination 
 tranquil 	 tranquil, 
evident constrained – 	 evidently constrained; 
 guilt 	 guilt, 
[DELstart] herself[DELend]  	[NO 1831 VARIANT]
 court 	 court, 
 it 	 it, 
 seated – a 	 seated. A 
 us 	 us; 
 herself 	 herself, 
[DELstart] g[DELend][DELstart] with[DELend]  	[NO 1831 VARIANT]
look[DELstart] e[DELend]  	 look 
[DELstart] and[DELend]  and 	 guiltlessness.     The trial began; and, 
 charge 	 charge, 
 her 	 her, 
 would 	 might 
 prof 	 proof 
 committed 	 committed, 
[DELstart] farme[DELend] woman 	 market-woman 
 He 	 The woman 
wh[DELstart] She[DELend][ADDstart] The woman[ADDend][ADDstart] ^[ADDend][ADDstart] her[ADDend]  	[NO 1831 VARIANT]
there[DELstart] for[DELend][ADDstart] ?[ADDend][ADDstart] but[ADDend]  	 there; but 
[DELstart] stang[DELend]  strangely 	 strangely, 
[DELstart] e[DELend][DELstart] came[DELend][ADDstart] ^&unintelligible^[ADDend][ADDstart] ^[ADDend][ADDstart] She[ADDend]  	 and unintelligible answer. She 
 o'clock and 	 o’clock; and, 
 some 	[NO 1831 VARIANT]
 night 	 night, 
 child 	 child, 
[DELstart] enquired[DELend][ADDstart] ^[ADDend][ADDstart] demanded[ADDend] earnestly 	 demanded earnestly 
the body was brought into 	 shown 
 house 	 body, 
hys terics 	 hysterics, 
 produced 	 produced, 
 pocket 	 pocket; 
 Elizabeth 	 Elizabeth, 
 voice 	 voice, 
[DELstart] she had[DELend][DELstart] the[DELend][ADDstart] which[ADDend]  	 which, 
murder the 	[NO 1831 VARIANT]
missed, she 	 missed, she 
 neck 	 neck, 
 indignation 	 horror 
 horror 	 indignation 
court. Justine 	 court.     Justine 
 then 	[NO 1831 VARIANT]
  	[NO 1831 VARIANT]
 proceeded 	 proceeded, 
 Surprise horror 	 Surprise, horror, 
strong  ly 	 strongly 
tears [DELstart] wh[DELend]  but 	 tears; but, 
 speak 	 plead, 
 powers 	 powers, 
 spoke 	 spoke, 
 audible 	 audible, 
voice. "God knows," 	 voice.     “God knows,” 
"[DELstart] w[DELend][ADDstart] w[ADDend]  	 “how 
 inocent. but 	 innocent. But 
to be  acquitted on account of 	 that 
[DELstart] a[DELend]  	[NO 1831 VARIANT]
[DELstart] facts[DELend][ADDstart] facts[ADDend]  	 facts 
 me, 	 me; 
 encline 	 incline 
 interpretation 	 interpretation, 
[DELstart] fact[DELend][ADDstart] circumstance[ADDend]  	 circumstance 
  	[NO 1831 VARIANT]
suspicious. She 	 suspicious.”     She 
 that 	 that, 
 Elizabeth 	 Elizabeth, 
 was perpetrated 	 had been committed 
[ADDstart] ^[ADDend] the 	 the 
 who resided in Chêne 	 at Chêne, 
 return 	 return, 
 o'clock 	 o’clock, 
[DELstart] servant[DELend] man 	 man, 
 frightened at 	 alarmed by 
 him 	 him, 
 shut 	 shut, 
[DELstart] passed[DELend][ADDstart] ^[ADDend] was 	 was 
night[ADDstart] in[ADDend]  	 night in a barn belonging to 
 but unable 	 being unwilling to call up the inhabitants, 
 rest or sleep, 	 whom she was well known. Most of the night she spent here watching; towards morning she believed that she slept for a few minutes; some steps disturbed her, and she awoke. It was dawn, and 
 rose early 	 quitted her asylum, 
[DELstart] [DELend][DELstart] e[DELend]  	 spot 
 lay 	 lay, 
knowledge [DELstart] and she had been confused[DELend] That if 	 knowledge. That 
ques  tioned 	 questioned 
 market woman, 	 market-woman 
[DELstart] that[DELend][ADDstart] not[ADDend]  surprising when 	 not surprising, since 
[DELstart] was so[DELend][DELstart] c[DELend][ADDstart] for[ADDend]  	 had passed a sleepless night, and 
 loss 	 fate 
 William. 	 William was yet uncertain. 
"I know," continued  	  
  	 “I know,” continued 
victim[DELstart] e[DELend]  "how 	 victim, “how 
[DELstart] o[DELend]  	[NO 1831 VARIANT]
[DELstart] we[DELend]  	[NO 1831 VARIANT]
 me 	 me, 
 it 	 it; 
 ignorance 	 ignorance, 
[DELstart] w[DELend] as any other is 	[NO 1831 VARIANT]
conject[DELstart] ure[DELend] to 	[NO 1831 VARIANT]
[DELstart] I[DELend]  	[NO 1831 VARIANT]
[DELstart] at a[DELend][DELstart] stand[DELend][ADDstart] checked[ADDend] I 	 checked. I 
 have 	[NO 1831 VARIANT]
earth   	 earth, 
 who could 	 would 
[DELstart] d[DELend]  	[NO 1831 VARIANT]
[DELstart] so cruelly[DELend][ADDstart] ^[ADDend][ADDstart] wantonly.[ADDend] Did 	 wantonly. Did 
doing  or 	 doing; or, 
 had 	 had, 
 jewel 	 jewel, 
[ADDstart] ^[ADDend][ADDstart] again[ADDend]  	 again 
soon [DELstart] again[DELend][ADDstart] ?[ADDend] "I 	 soon?     “I 
 judges 	 judges, 
 character 	 character; 
the[ADDstart] ir[ADDend] testimony 	 their testimony 
overweigh my 	 overweigh my 
guilt[DELstart] is an apparent[DELend]  	 guilt, 
[DELstart] shall[DELend][ADDstart] must[ADDend] be condemned 	 must be condemned, 
[DELstart] p[DELend]  	[NO 1831 VARIANT]
innocence." Several 	 innocence.”     Several 
 called 	 called, 
 years 	 years, 
 her 	 her; 
 fear 	 fear, 
 guilty 	 guilty, 
 timorous 	 timorous, 
speak[ADDstart] ^[ADDend] come 	 come 
 dispositions & 	[NO 1831 VARIANT]
  	[NO 1831 VARIANT]
 when 	 when, 
[DELstart] uncalled[DELend] she 	 violently agitated, she 
 speak. "I am" 	 address the court.     “I am,” 
 she "the 	 she, “the 
 murdered 	 murdered, 
 sister 	 sister, 
[ADDstart] ^[ADDend][ADDstart] by[ADDend]  	 by, 
[DELstart] s[DELend]  	[NO 1831 VARIANT]
[DELstart] sin[DELend]  	[NO 1831 VARIANT]
 before 	 before, 
 birth; it 	 birth. It 
 occasion 	 occasion; 
 fellow creature 	 fellow-creature 
 friends 	 friends, 
 speak 	 speak, 
[DELstart] and[DELend]  	[NO 1831 VARIANT]
[DELstart] know a great deal[DELend][ADDstart] ^[ADDend] am 	 am 
it.[DELstart] for[DELend]  	 the accused. 
 her 	 her, 
 five 	 five, 
 afterwards 	 at another 
[DELstart] time[DELend][DELstart] [DELend][ADDstart] ^[ADDend][ADDstart] period[ADDend]  	 period she 
 a 	 the 
 creature. 	 of human creatures. 
 nurst 	 nursed Madame Frankenstein, 
 aunt 	 aunt, 
 illness 	 illness, 
 care 	 care; 
after  terwards 	 afterwards 
[ADDstart] ^[ADDend][ADDstart] own[ADDend]  	 own 
 long & 	[NO 1831 VARIANT]
illness [DELstart] w[DELend]  	 illness, 
 her. After 	 her; after 
 uncle's house 	 uncle’s house, 
[DELstart] always a favourite[DELend][ADDstart] ^[ADDend] beloved 	 beloved 
[DELstart] Of the deceased[DELend] she 	 She 
[DELstart] very[DELend][DELstart] fond[DELend][ADDstart] ^[ADDend] warmly 	 warmly 
has been murdered  	 is now dead, 
[DELstart] in[DELend]  	[NO 1831 VARIANT]
Mother for 	 mother. For 
 part 	 part, 
[DELstart] s[DELend][ADDstart] ^[ADDend][ADDstart] all[ADDend]  	 say, that, notwithstanding all 
  	[NO 1831 VARIANT]
 her 	 her, 
[DELstart] An[DELend]  	[NO 1831 VARIANT]
[DELstart] t[DELend][ADDstart] t[ADDend]  	 no 
[DELstart] and her dispo character[DELend][DELstart] whi[DELend]  	[NO 1831 VARIANT]
action[DELstart] is amiable[DELend][DELstart] for[DELend]  	 action: 
rests [DELstart] If[DELend][DELstart] s[DELend]  	 rests, 
 wished for it 	 desired it, 
 her 	 to her; 
[DELstart] did[DELend]  	[NO 1831 VARIANT]
[DELstart] I rely[DELend]  	[NO 1831 VARIANT]
her." Excellent Elizabeth! 	 her.”     
[DELstart] o[DELend]  was heard, 	 followed Elizabeth’s simple and powerful appeal; 
[DELstart] on her account[DELend][ADDstart] ^[ADDend] excited 	 excited 
interference & 	 interference, and 
 Justine 	 Justine, 
[DELstart] ig[DELend][ADDstart] was[ADDend]  	 indignation was 
her[ADDstart] with[ADDend]  	 her with 
in- [DELstart] For[DELend]  	 ingratitude. 
 spoke 	 spoke, 
agitation[ADDstart] ^[ADDend] & 	 agitation and 
[DELstart] wh[DELend]  	[NO 1831 VARIANT]
 of the 	[NO 1831 VARIANT]
  	[NO 1831 VARIANT]
inno cence 	 innocence; 
 monster 	 dæmon, 
 alo 	 also 
sport[ADDstart] have[ADDend]  	 sport have 
 ignominy. 	 ignominy? 
situa  tion 	 situation; 
 saw 	 perceived 
 voice 	 voice, 
 countenance 	 countenances 
 Judges 	 judges, 
[DELstart] her[DELend][ADDstart] Xthe accusedXmy unhappyvictim[ADDend] I 	 my unhappy victim, I 
 mine 	 mine; 
 innocence 	 innocence, 
 bosom– 	 bosom, and would not forego their hold.     
 question – 	 question; 
know[ADDstart] n[ADDend]  	 known, 
[DELstart] what I came to en-[DELend][ADDstart] ^[ADDend] the 	 the 
visit[DELstart] quire;[DELend]  — the 	 visit. The 
 thrown 	 thrown; 
[DELstart] blak[DELend][ADDstart] ^[ADDend][ADDstart] black[ADDend] & 	 black, and 
  	[NO 1831 VARIANT]
[ADDstart] 2[ADDend] I 	 I 
 attempt 	 pretend 
 felt – 	 felt. 
[DELstart] had[DELend][ADDstart] experienced[ADDend]  	 before experienced 
horror  before 	 horror; 
 on 	 upon 
 expressions 	 expressions, 
 now 	[NO 1831 VARIANT]
 any 	 an 
 heart sickening 	 heart-sickening 
felt[DELstart] Nor[DELend][ADDstart] ^[ADDend][ADDstart] endured[ADDend]  	 endured. 
 had 	[NO 1831 VARIANT]
 also added 	 added, 
 "That evidence" 	 “That evidence,” 
 observed –"was 	 observed, “was 
 case 	 case, 
 I 	[NO 1831 VARIANT]
 and indeed 	 and, indeed, 
[DELstart] ch[DELend]  	[NO 1831 VARIANT]
evi let 	 evidence, be 
be[ADDstart] ^[ADDend][ADDstart] it[ADDend]  	[NO 1831 VARIANT]
decisive." When 	 decisive.”     This was strange and unexpected intelligence; what could it mean? Had my eyes deceived me? and was I really as mad as the whole world would believe me to be, if I disclosed the object of my suspicions? 
 returned home 	 hastened to return home, and 
[DELstart] enquired[DELend][ADDstart] ^[ADDend][ADDstart] demanded[ADDend]  	 demanded 
 "My cousin" 	    “My cousin,” 
 "it 	 “it 
[ADDstart] ^[ADDend][ADDstart] all[ADDend] Judges 	 expected; all judges 
 suffer 	 suffer, 
 escape: but 	 escape. But 
confessed." This 	 confessed.”     This 
[DELstart] b[DELend]  	[NO 1831 VARIANT]
Eliza beth 	 Elizabeth, 
on  her 	 upon Justine’s 
 "Alas!" 	 “Alas!” 
 she "How 	 she, “how 
 benovolence – 	 goodness? 
 sister. How 	 sister, how 
[DELstart] thos[DELend]  	[NO 1831 VARIANT]
 betray– 	 betray? 
inca pable 	 incapable 
 ill humour 	 guile, 
[DELstart] com[DELend]  	[NO 1831 VARIANT]
murder." Soon 	 murder.”     Soon 
 wish 	 desire 
 go 	 go; 
 said 	 said, 
 judgement 	 judgment 
 "Yes," 	 “Yes,” 
 Elizabeth "I 	 Elizabeth, “I 
 go 	 go, 
 guilty – 	 guilty; 
 you Victor 	 you, Victor, 
acco pany me –I 	 accompany me: I 
alone". [DELstart] This[DELend]  	 alone.” 
 me 	 me, 
refuse. We 	 refuse.     We 
prison cham ber 	 prison-chamber, 
 further 	 farther 
 mannacled 	 manacled, 
[DELstart] knews[DELend]  knees,– she 	 knees. She 
[DELstart] th[DELend]  	[NO 1831 VARIANT]
 her 	 her, 
 Elizabeth 	 Elizabeth, 
bitterly. My 	 bitterly. My 
 also – Oh Justine 	 also.     “Oh, Justine!” 
